Timestamp,Distance (cm)
20250508225722,16.10
20250508225732,29.51
20250508225742,228.92
20250508225752,791.08
20250508225802,6.78
20250508225812,792.39
20250508225822,29.16
20250508225832,2.30
20250508225842,28.59
20250508225852,26.16
20250508225902,66.04
20250508225912,48.96
20250508225922,231.69
20250508225932,8.30
20250508225942,16.68
20250508225952,2.62
20250508230002,28.31
20250508230012,232.10
20250508230022,231.81
20250508230032,68.46
20250508230042,69.99
20250508230052,230.83
20250508230102,331.69
20250508230112,231.32
20250508230122,373.97
20250508230132,230.93
20250508230142,230.89
20250508230152,231.37
20250508230202,231.69
20250508230213,231.27
20250508230223,232.51
20250508230233,203.39
20250508230243,232.27
20250508230253,230.98
20250508230303,230.59
20250508230313,55.74
20250508230323,49.38
20250508230333,593.62
20250508230343,232.83
20250508230353,60.16
20250508230403,31.91
20250508230413,23.66
20250508230423,203.98
20250508230433,16.66
20250508230443,66.18
20250508230453,14.04
20250508230503,14.70
20250508230513,54.38
20250508230523,64.72
20250508230533,66.45
20250508230543,55.69
20250508230553,63.34
20250508230603,55.47
20250508230613,25.43
20250508230623,16.39
20250508230633,792.06
20250508230643,42.65
20250508230653,53.16
20250508230703,36.23
20250508230713,29.10
20250508230723,53.50
20250508230733,36.23
20250508230743,26.86
20250508230753,30.91
20250508230803,25.43
20250508230813,38.05
20250508230823,47.55
20250508230833,31.28
20250508230843,65.57
20250508230853,202.91
20250508230903,32.98
20250508230913,33.25
20250508230923,30.38
20250508230933,30.12
20250508230943,32.45
20250508230953,32.22
20250508231003,31.18
20250508231013,20.50
20250508231023,25.53
20250508231033,23.55
20250508231043,25.26
20250508231053,55.57
20250508231103,19.24
20250508231113,37.04
20250508231123,16.69
20250508231133,50.66
20250508231143,15.74
20250508231153,18.61
20250508231203,65.45
20250508231213,59.98
20250508231223,52.97
20250508231233,60.71
20250508231243,302.09
20250508231253,791.23
20250508231303,791.20
20250508231313,791.54
20250508231323,791.43
20250508231333,337.36
20250508231343,791.45
20250508231353,336.89
20250508231403,53.77
20250508231413,62.99
